URL,Status
https://journey.io/developers,404
https://cognism.com/api-docs,404
https://crawl4ai.com/docs,404
https://jina.ai/reader/api,404
https://zapier.com/engineering/mcp,404
https://developers.outreach.io/api/reference/,404
https://amplemarket.com/product/research,404
https://klue.com/developers,404
https://www.leadmine.net/docs,404
https://getvocal.ai/docs,404
https://developers.outreach.io/api/reference/,404
https://koncert.com/developers,404
https://docs.saleshandy.com/api,404
https://salesmotion.io/developers,404
https://docs.zeliq.com/api,404
https://woodpecker.co/help/api-documentation/,404
https://leadiq.com/developers,404
https://meetalfred.com/api,404
https://postaga.com,404
https://spotio.com/developers/,404
https://api.salesflare.com/,404
https://salesblink.io/docs,404
https://sparkbase.ai/,404
https://developers.qwilr.com/,404
https://aloware.com/docs/api-v2/,404
